sample_id,damage_level,n_grains,grain_size_um,n_cracks,crack_severity,n_pores,n_inclusions,log10_Nf,Nf_cycles,risk_category,image_path
SYN_0000,severe,81,6,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0000.png
SYN_0001,pristine,57,8,0,0.1,5,3,6.7236,5291301.0,LOW,data\synthetic\images\SYN_0001.png
SYN_0002,mild,88,5,1,0.3,10,6,6.2659,1844596.0,MEDIUM,data\synthetic\images\SYN_0002.png
SYN_0003,pristine,66,7,0,0.1,5,3,6.4488,2810871.0,MEDIUM,data\synthetic\images\SYN_0003.png
SYN_0004,moderate,54,9,2,0.6,15,10,4.8475,70393.0,HIGH,data\synthetic\images\SYN_0004.png
SYN_0005,severe,30,16,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0005.png
SYN_0006,mild,63,7,1,0.3,10,6,6.043,1103966.0,MEDIUM,data\synthetic\images\SYN_0006.png
SYN_0007,pristine,81,6,0,0.1,5,3,6.721,5260281.0,LOW,data\synthetic\images\SYN_0007.png
SYN_0008,moderate,52,9,2,0.6,15,10,4.6526,44941.0,HIGH,data\synthetic\images\SYN_0008.png
SYN_0009,mild,104,4,1,0.3,10,6,6.0829,1210265.0,MEDIUM,data\synthetic\images\SYN_0009.png
SYN_0010,pristine,105,4,0,0.1,5,3,6.5105,3240005.0,LOW,data\synthetic\images\SYN_0010.png
SYN_0011,pristine,54,9,0,0.1,5,3,6.7342,5423005.0,LOW,data\synthetic\images\SYN_0011.png
SYN_0012,pristine,62,8,0,0.1,5,3,6.5652,3674174.0,LOW,data\synthetic\images\SYN_0012.png
SYN_0013,mild,110,4,1,0.3,10,6,6.0257,1060860.0,MEDIUM,data\synthetic\images\SYN_0013.png
SYN_0014,severe,104,4,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0014.png
SYN_0015,mild,94,5,1,0.3,10,6,6.0253,1060046.0,MEDIUM,data\synthetic\images\SYN_0015.png
SYN_0016,severe,116,4,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0016.png
SYN_0017,severe,30,16,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0017.png
SYN_0018,moderate,58,8,2,0.6,15,10,4.5489,35390.0,HIGH,data\synthetic\images\SYN_0018.png
SYN_0019,moderate,66,7,2,0.6,15,10,4.6382,43475.0,HIGH,data\synthetic\images\SYN_0019.png
SYN_0020,mild,46,10,1,0.3,10,6,6.1555,1430449.0,MEDIUM,data\synthetic\images\SYN_0020.png
SYN_0021,severe,56,8,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0021.png
SYN_0022,mild,74,6,1,0.3,10,6,6.0499,1121673.0,MEDIUM,data\synthetic\images\SYN_0022.png
SYN_0023,mild,102,4,1,0.3,10,6,6.2392,1734559.0,MEDIUM,data\synthetic\images\SYN_0023.png
SYN_0024,moderate,80,6,2,0.6,15,10,4.7226,52795.0,HIGH,data\synthetic\images\SYN_0024.png
SYN_0025,severe,115,4,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0025.png
SYN_0026,mild,46,10,1,0.3,10,6,6.035,1083930.0,MEDIUM,data\synthetic\images\SYN_0026.png
SYN_0027,moderate,72,6,2,0.6,15,10,4.3939,24768.0,CRITICAL,data\synthetic\images\SYN_0027.png
SYN_0028,moderate,37,13,2,0.6,15,10,4.7491,56115.0,HIGH,data\synthetic\images\SYN_0028.png
SYN_0029,mild,105,4,1,0.3,10,6,5.9243,840019.0,MEDIUM,data\synthetic\images\SYN_0029.png
SYN_0030,mild,39,12,1,0.3,10,6,6.0817,1206891.0,MEDIUM,data\synthetic\images\SYN_0030.png
SYN_0031,severe,42,11,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0031.png
SYN_0032,moderate,104,4,2,0.6,15,10,4.461,28904.0,CRITICAL,data\synthetic\images\SYN_0032.png
SYN_0033,pristine,114,4,0,0.1,5,3,6.6441,4406156.0,LOW,data\synthetic\images\SYN_0033.png
SYN_0034,severe,56,8,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0034.png
SYN_0035,severe,110,4,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0035.png
SYN_0036,pristine,36,13,0,0.1,5,3,6.6304,4269852.0,LOW,data\synthetic\images\SYN_0036.png
SYN_0037,mild,70,7,1,0.3,10,6,5.9142,820666.0,MEDIUM,data\synthetic\images\SYN_0037.png
SYN_0038,severe,81,6,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0038.png
SYN_0039,mild,76,6,1,0.3,10,6,6.0603,1148932.0,MEDIUM,data\synthetic\images\SYN_0039.png
SYN_0040,severe,73,6,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0040.png
SYN_0041,severe,34,14,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0041.png
SYN_0042,pristine,78,6,0,0.1,5,3,6.753,5662613.0,LOW,data\synthetic\images\SYN_0042.png
SYN_0043,severe,70,7,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0043.png
SYN_0044,pristine,80,6,0,0.1,5,3,6.5472,3525402.0,LOW,data\synthetic\images\SYN_0044.png
SYN_0045,moderate,75,6,2,0.6,15,10,5.063,115605.0,HIGH,data\synthetic\images\SYN_0045.png
SYN_0046,mild,43,11,1,0.3,10,6,6.0129,1030223.0,MEDIUM,data\synthetic\images\SYN_0046.png
SYN_0047,moderate,58,8,2,0.6,15,10,4.776,59708.0,HIGH,data\synthetic\images\SYN_0047.png
SYN_0048,moderate,52,9,2,0.6,15,10,4.4998,31606.0,CRITICAL,data\synthetic\images\SYN_0048.png
SYN_0049,pristine,56,8,0,0.1,5,3,6.5458,3513652.0,LOW,data\synthetic\images\SYN_0049.png
SYN_0050,moderate,92,5,2,0.6,15,10,4.1225,13258.0,CRITICAL,data\synthetic\images\SYN_0050.png
SYN_0051,pristine,71,7,0,0.1,5,3,6.348,2228374.0,MEDIUM,data\synthetic\images\SYN_0051.png
